,index,Gene_name,MIM_id,MIM_phenotype_id,MIM_disease,Orphanet_disorder,Orphanet_association_type,Trait_association(GWAS),Interactions(ConsensusPathDB)_rankscore,gnomAD_pLI_rankscore,GDI_rankscore,LoFtool_score_rankscore
3119,32749,S1PR2,605111,610419;,"[MIM:610419]Deafness, autosomal recessive, 68 [recessive?];",Autosomal recessive non-syndromic sensorineural deafness type DFNB,Disease-causing germline mutation(s) (loss of function) in,High light scatter reticulocyte percentage of red cells[27863252];Reticulocyte fraction of red cells[27863252];Reticulocyte count[27863252];Alanine transaminase levels[29403010];High light scatter reticulocyte count[27863252];Immature fraction of reticulocytes[27863252];,0.35496932515337426,0.46802475502836516,0.7522839989558862,0.7329650092081031
3120,32768,S100A9,123886,,,Systemic-onset juvenile idiopathic arthritis,Major susceptibility factor in,Matrix metalloproteinase-8 levels[29212897];,0.7231901840490798,0.7088705518308407,0.93265465935787,0.0
3121,32786,SAA1,104750,,,AA amyloidosis,Major susceptibility factor in,Rosacea symptom severity[29771307];Blood protein levels[28240269;29875488;30072576];Amyloid A serum levels[21124955];,0.19190184049079756,0.46003094378545645,0.4570608196293396,0.015500306936771025
3122,32794,SACS,604490,270550;,[MIM:270550]Spastic ataxia Charlevoix-Saguenay type;,Autosomal recessive spastic ataxia of Charlevoix-Saguenay,Disease-causing germline mutation(s) in,Type 2 diabetes[23300278];Blood pressure (smoking interaction)[25189868];Hypothyroidism[22493691];Protein quantitative trait loci[18464913];,0.6312883435582822,0.46235172769468796,0.04881232054293918,0.9536525475751995
3123,32799,SAG,181031,258100;613758;,"[MIM:258100]Night blindness, congenital stationary, Oguchi type 1 [recessive?];[MIM:613758]Retinitis pigmentosa 47;",Retinitis pigmentosa;Congenital stationary night blindness;Oguchi disease,Disease-causing germline mutation(s) in;Candidate gene tested in;Disease-causing germline mutation(s) (loss of function) in,Calcium levels[20705733];Crohn's disease[22412388];,0.17791411042944785,0.15394533264569366,0.2704254763769251,0.09330877839165132
3124,32805,SALL1,602218,107480;,[MIM:107480]Townes-Brocks syndrome 1 [dominant?];,Townes-Brocks syndrome,Disease-causing germline mutation(s) (loss of function) in,Optic disc parameters[20548946];Digit length ratio (right hand)[29659830];Optic cup area[25631615;25631615;28073927;28073927];C-reactive protein levels[21300955];Diabetes mellitus[29615537];Creatinine levels[29403010];Vertical cup-disc ratio[25241763];Left superior temporal gyrus thickness (schizophrenia interaction)[26249676];Glomerular filtration rate[29403010];Uterine fibroids[30194396];Digit length ratio (left hand)[29659830;29659830];Optic disc area[28073927;25631615;25631615;28073927];Bone mineral density[22504420];Digit length ratio[29659830];Weight loss (gastric bypass surgery)[23643386];Blood pressure measurement (high sodium and potassium intervention)[24165912;24165912];,0.7206134969325153,0.9695719443011862,0.5233620464630645,0.8867403314917127
3125,32807,SALL2,602219,216820;,"[MIM:216820]Coloboma, ocular, autosomal recessive [recessive?];",Coloboma of choroid and retina;Coloboma of optic disc;Coloboma of macula;Coloboma of eyelid;Coloboma of eye lens;Coloboma of iris;Precursor T-cell acute lymphoblastic leukemia,Disease-causing germline mutation(s) (loss of function) in;Disease-causing germline mutation(s) (loss of function) in;Disease-causing germline mutation(s) (loss of function) in;Disease-causing germline mutation(s) (loss of function) in;Disease-causing germline mutation(s) (loss of function) in;Disease-causing germline mutation(s) (loss of function) in;Part of a fusion gene in,Response to Homoharringtonine (cytotoxicity)[25628645];,0.40773006134969325,0.24316658071170708,0.12242234403549987,0.2438612645794966
3126,32809,SALL4,607343,147750;607323;,[MIM:607323]Duane-radial ray syndrome;[MIM:147750]Oculootoradial syndrome;,Acro-renal-ocular syndrome;IVIC syndrome;Okihiro syndrome due to 20q13 microdeletion;Okihiro syndrome due to a point mutation,Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in;Role in the phenotype of;Disease-causing germline mutation(s) in,Male infertility[19478329];Tourette's syndrome or obsessive-compulsive disorder[25158072];,0.38061349693251534,0.8736462093862816,0.08848864526233359,0.7906691221608348
3127,32827,SAMD9,610456,610455;617053;,"[MIM:610455]Tumoral calcinosis, normophosphatemic, familial;[MIM:617053]MIRAGE syndrome;",Familial normophosphatemic tumoral calcinosis;MIRAGE syndrome,Disease-causing germline mutation(s) (loss of function) in;Disease-causing germline mutation(s) in,Mean corpuscular volume[29403010];Mean corpuscular hemoglobin[29403010];Central corneal thickness[29760442];,0.2947239263803681,0.011346054667354307,0.22239624119028975,0.010128913443830571
3128,32828,SAMD9L,611170,159550;,,Ataxia-pancytopenia syndrome,Disease-causing germline mutation(s) in,Systemic lupus erythematosus and Systemic sclerosis[23740937];,0.3925153374233129,0.6949458483754513,0.3273296789350039,0.0
3129,32832,SAMD12,618073,,,Benign adult familial myoclonic epilepsy,Disease-causing germline mutation(s) in,Eye morphology[29921221];Multiple sclerosis[23412934];Asthma[29273806];,0.038773006134969326,0.21738009283135637,0.7893500391542678,0.47928176795580113
3130,32837,SAMHD1,606754,612952;614415;,[MIM:612952]Aicardi-Goutieres syndrome 5;[MIM:614415]Chilblain lupus 2;,Aicardi-Gouti�res syndrome;Familial Chilblain lupus,Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) (loss of function) in,,0.8651533742331289,0.34296028880866425,0.8981989036805011,0.5954573357888275
3131,32865,SAR1B,607690,246700;,,Chylomicron retention disease,Disease-causing germline mutation(s) in,,0.28662576687116564,0.3073749355337803,0.9292612894805534,0.3970227133210559
3132,32867,SARDH,604455,268900;,[MIM:268900]Sarcosinemia;,Sarcosinemia,Disease-causing germline mutation(s) in,Post bronchodilator FEV1/FVC ratio[26634245];Asthma[27611488];,0.08736196319018405,0.05260443527591542,0.09527538501696685,0.7685696746470227
3133,32870,SARS,607529,617709;,"[MIM:617709]Neurodevelopmental disorder with microcephaly, ataxia, and seizures [recessive?];",Autosomal recessive non-syndromic intellectual disability,Disease-causing germline mutation(s) in,,0.8922699386503068,0.9649303764827231,0.7316627512398851,0.7200736648250461
3134,32871,SARS2,612804,613845;,"[MIM:613845]Hyperuricemia, pulmonary hypertension, renal failure, and alkalosis syndrome;",Hyperuricemia-pulmonary hypertension-renal failure-alkalosis syndrome,Disease-causing germline mutation(s) (loss of function) in,,0.9678527607361963,0.12429087158329036,0.35578178021404333,0.22974217311233885
3135,32874,SASH1,607955,,,Familial generalized lentiginosis;Pigmentation defects-palmoplantar keratoderma-skin carcinoma syndrome,Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in,Thyroid hormone levels[23408906;23408906];Resting-state electroencephalogram vigilance[29703947];Gait speed in old age[28077804];Rotator cuff tears[26350878];Type 2 diabetes nephropathy[21150874];Night sleep phenotypes[27126917];Hypothyroidism[27182965];Alzheimer's disease[20061627];Protein quantitative trait loci[18464913];Idiopathic dilated cardiomyopathy[29495422];,0.27361963190184047,0.7083548220732336,0.0696945967110415,0.34085328422344996
3136,32876,SASS6,609321,616402;,"[MIM:616402]Microcephaly 14, primary, autosomal recessive [recessive?];",Autosomal recessive primary microcephaly,Disease-causing germline mutation(s) in,,0.6905521472392638,0.23904074265085096,0.10362829548420778,0.2343462246777164
3137,32877,SAT1,313020,308800;,[MIM:308800]Keratosis follicularis spinulosa decalvans X-linked;,Keratosis follicularis spinulosa decalvans,Candidate gene tested in,,0.5244171779141105,0.8452810727178959,0.9519707648133646,0.0
3138,32881,SATB2,608148,119540;,[MIM:119540]Cleft palate isolated;,2q32q33 microdeletion syndrome;2q33.1 microdeletion syndrome,Role in the phenotype of;Role in the phenotype of,Type 2 diabetes[25760438];Waist circumference[23966867];Barrett's esophagus  or Esophageal adenocarcinoma[27527254];Insomnia[23728906];Autism spectrum disorder or schizophrenia[28540026];Chin dimples[27182965];Schizophrenia[25056061;28991256];Menarche (age at onset)[27182965;25231870;25231870;25231870;29773799];Brain cytoarchitecture[20308991];Loneliness (multivariate analysis)[27629369];Ulcerative colitis[20228799];,0.8606134969325153,0.9868488911810211,0.8814930827460193,0.9145181092694905
3139,32889,SBDS,607444,260400;,,Shwachman-Diamond syndrome;Idiopathic aplastic anemia,Disease-causing germline mutation(s) in;Major susceptibility factor in,Body mass index[26426971];Low high density lipoprotein cholesterol levels[26879886];,0.4667484662576687,0.30943785456420836,0.5424171234664579,0.4648557397176182
3140,32891,SBF1,603560,615284;,[MIM:615284]Charcot-Marie-Tooth disease 4B3 [recessive?];,Charcot-Marie-Tooth disease type 4B3,Disease-causing germline mutation(s) in,,0.6576687116564417,0.6536874677668901,0.31662751239885145,0.8554327808471455
3141,32893,SBF2,607697,604563;,,Charcot-Marie-Tooth disease type 4B2,Disease-causing germline mutation(s) in,Neuroticism[27089181];Serum uric acid levels[29403010];Moyamoya disease[29273593];Urinary albumin excretion[30220432];Pancreatic cancer[23180869];Hematocrit[27863252;27863252];Red blood cell count[27863252];Lung adenocarcinoma[28604730];Survival in pancreatic cancer[28470677];Hemoglobin concentration[27863252;27863252];,0.7077300613496933,0.7498710675605983,0.26964239102062126,0.7894413750767342
3142,32903,SC5D,602286,607330;,[MIM:607330]Lathosterolosis;,Lathosterolosis,Disease-causing germline mutation(s) in,QT interval[29213071];Response to taxane treatment (placlitaxel)[23006423];,0.23865030674846627,0.30892212480660136,0.9039415296267294,0.0
3143,32906,SCA20,,,,Spinocerebellar ataxia type 20,Disease-causing germline mutation(s) in,,0.038773006134969326,0.0,0.0,0.0
3144,32907,SCA25,608703,,,Spinocerebellar ataxia type 25,Disease-causing germline mutation(s) in,,0.038773006134969326,0.0,0.0,0.0
3145,32909,SCA30,613371,,,Spinocerebellar ataxia type 30,Disease-causing germline mutation(s) in,,0.038773006134969326,0.0,0.0,0.0
3146,32910,SCA32,613909,,,Spinocerebellar ataxia type 32,Disease-causing germline mutation(s) in,,0.038773006134969326,0.0,0.0,0.0
3147,32911,SCA37,,,,Spinocerebellar ataxia type 37,Disease-causing germline mutation(s) in,,0.038773006134969326,0.0,0.0,0.0
3148,32928,SCAPER,611611,,,Retinitis pigmentosa,Disease-causing germline mutation(s) in,Blood metabolite levels[24816252];Late-onset Alzheimer's disease[27770636;27770636];Recalcitrant atopic dermatitis[25935106];,0.4622085889570552,0.5020629190304281,0.037588097102584185,0.0167280540208717
3149,32935,SCARB2,602257,254900;,"[MIM:254900]Epilepsy, progressive myoclonic 4, with or without renal failure [recessive?];",Action myoclonus-renal failure syndrome;Unverricht-Lundborg disease;Gaucher disease type 1,Disease-causing germline mutation(s) (loss of function) in;Disease-causing germline mutation(s) in;Modifying germline mutation in,Body mass index[25673413;25673413;25673413];Parkinson's disease[21738487;25064009];Body mass index (joint analysis main effects and smoking interaction)[28443625];BMI (adjusted for smoking behaviour)[28443625];,0.5326380368098159,0.2480660134089737,0.6350822239624119,0.32903621853898096
3150,32937,SCARF2,613619,600920;,,Van den Ende-Gupta syndrome,Disease-causing germline mutation(s) in,Blood protein levels[29875488];,0.22687116564417178,0.9698298091799897,0.06891151135473766,0.0
3151,32992,SCGB1D1,615060,,,Cholesteryl ester storage disease;Wolman disease,Disease-causing germline mutation(s) (loss of function) in;Disease-causing germline mutation(s) (loss of function) in,Plasma omega-6 polyunsaturated fatty acid levels (arachidonic acid)[24823311;24823311];Plasma omega-6 polyunsaturated fatty acid levels (linoleic acid)[24823311;24823311];Waist-to-hip ratio adjusted for BMI[26426971;26426971];Waist-to-hip ratio adjusted for BMI x sex x age interaction (4df test)[26426971;26426971];,0.49570552147239266,0.166838576585869,0.9480553380318455,0.1921424186617557
3152,33017,SCN1A,182389,604403;607208;609634;,"[MIM:604403]Generalized epilepsy with febrile seizures plus 2 [dominant?];[MIM:607208]Epileptic encephalopathy, early infantile, 6;[MIM:607208]Intractable childhood epilepsy with generalized tonic- clonic seizures;[MIM:609634]Migraine, familial hemiplegic, 3;[MIM:604403]Febrile seizures, familial, 3A;",Lennox-Gastaut syndrome;Familial or sporadic hemiplegic migraine;Malignant migrating partial seizures of infancy;Generalized epilepsy with febrile seizures-plus;Dravet syndrome,Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in,Febrile seizures (MMR vaccine-unrelated)[25344690];Febrile seizures[25344690];Epilepsy[25087078;25087078];Mesial temporal lobe epilepsy with hippocampal sclerosis[24014518;24014518];Febrile seizures (MMR vaccine-related)[25344690];Epilepsy (generalized)[22949513];,0.4894478527607362,1.0,0.5755677368833203,0.9996930632289748
3153,33019,SCN1B,600235,604233;612838;615377;617350;,"[MIM:612838]Brugada syndrome 5;[MIM:615377]Atrial fibrillation, familial, 13;[MIM:617350]Epileptic encephalopathy, early infantile, 52 [recessive?];",Familial progressive cardiac conduction defect;Brugada syndrome;Familial atrial fibrillation;Generalized epilepsy with febrile seizures-plus;Dravet syndrome,Disease-causing germline mutation(s) (loss of function) in;Disease-causing germline mutation(s) in;Candidate gene tested in;Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) (loss of function) in,Serum albumin level[23022100;23022100;23022100];,0.12711656441717792,0.5673027333677153,0.24693291568780998,0.85451197053407
3154,33020,SCN2A,182390,607745;613721;,"[MIM:607745]Seizures, benign familial infantile, 3 [dominant?];[MIM:613721]Epileptic encephalopathy, early infantile, 11 [dominant?];",Early infantile epileptic encephalopathy;West syndrome;Benign familial neonatal-infantile seizures;Benign familial infantile epilepsy;Generalized epilepsy with febrile seizures-plus;Dravet syndrome,Disease-causing germline mutation(s) (gain of function) in;Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in;Candidate gene tested in;Disease-causing germline mutation(s) in,Febrile seizures (MMR vaccine-unrelated)[25344690];Febrile seizures[25344690];Periodontitis (DPAL)[24024966];Febrile seizures (MMR vaccine-related)[25344690];,0.22687116564417178,0.8550799381124291,0.32080396763247193,0.9947820748925721
3155,33021,SCN2B,601327,615378;,,Brugada syndrome;Familial atrial fibrillation,Candidate gene tested in;Disease-causing germline mutation(s) (loss of function) in,Preeclampsia[23551011];,0.514478527607362,0.36384734399174834,0.9313495170973636,0.5725905463474524
3156,33022,SCN3A,182391,617935;617938;,"[MIM:617935]Epilepsy, familial focal, with variable foci 4 [dominant?];[MIM:617938]Epileptic encephalopathy, early infantile, 62;",Undetermined early-onset epileptic encephalopathy,Disease-causing germline mutation(s) in,Waist-to-hip ratio adjusted for BMI (age >50)[26426971];Body mass index[26426971];Body mass index x sex x age interaction (4df test)[26426971];Waist-to-hip ratio adjusted for BMI (age <50)[26426971];Parkinson's disease[28892059];Obstructive sleep apnea trait (apnea hypopnea index)[29077507;29077507];Body mass index (age>50)[26426971];Waist-to-hip ratio adjusted for BMI x sex x age interaction (4df test)[26426971];,0.5312883435582823,0.9066529138731305,0.35787000783085354,0.9797421731123389
